Category: All categories

Month,free helicopter ride: (Worldwide)
2013-01,0
2013-02,0
2013-03,0
2013-04,38
2013-05,0
2013-06,0
2013-07,34
2013-08,0
2013-09,0
2013-10,0
2013-11,0
2013-12,0
2014-01,0
2014-02,30
2014-03,0
2014-04,0
2014-05,0
2014-06,47
2014-07,32
2014-08,32
2014-09,0
2014-10,0
2014-11,0
2014-12,34
2015-01,30
2015-02,0
2015-03,0
2015-04,29
2015-05,0
2015-06,0
2015-07,30
2015-08,32
2015-09,37
2015-10,0
2015-11,0
2015-12,24
2016-01,0
2016-02,30
2016-03,27
2016-04,31
2016-05,33
2016-06,0
2016-07,27
2016-08,37
2016-09,33
2016-10,27
2016-11,0
2016-12,35
2017-01,39
2017-02,39
2017-03,36
2017-04,31
2017-05,0
2017-06,48
2017-07,30
2017-08,52
2017-09,0
2017-10,0
2017-11,0
2017-12,0
2018-01,29
2018-02,0
2018-03,32
2018-04,28
2018-05,28
2018-06,31
2018-07,50
2018-08,34
2018-09,24
2018-10,22
2018-11,31
2018-12,28
2019-01,0
2019-02,31
2019-03,27
2019-04,0
2019-05,0
2019-06,0
2019-07,25
2019-08,39
2019-09,0
2019-10,0
2019-11,0
2019-12,21
2020-01,39
2020-02,0
2020-03,0
2020-04,0
2020-05,0
2020-06,0
2020-07,0
2020-08,21
2020-09,19
2020-10,26
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,21
2021-04,0
2021-05,0
2021-06,26
2021-07,0
2021-08,22
2021-09,0
2021-10,29
2021-11,20
2021-12,0
2022-01,25
2022-02,26
2022-03,25
2022-04,20
2022-05,23
2022-06,23
2022-07,21
2022-08,39
2022-09,19
2022-10,25
2022-11,23
2022-12,20
2023-01,0
2023-02,18
2023-03,0
2023-04,0
2023-05,23
2023-06,31
2023-07,0
2023-08,38
2023-09,0
2023-10,31
2023-11,38
2023-12,46
2024-01,29
2024-02,23
2024-03,19
2024-04,27
2024-05,25
2024-06,30
2024-07,34
2024-08,23
2024-09,26
2024-10,0
2024-11,25
2024-12,23
2025-01,0
2025-02,32
2025-03,32
2025-04,24
2025-05,25
2025-06,29
2025-07,33
2025-08,100
2025-09,73
2025-10,75
2025-11,51
2025-12,67
2026-01,68
